id,title,duration_s,entropy_norm,effective_states,self_retention,transition_entropy_norm,detailed_balance_violation,metastability_slem,free_energy_range,heat_capacity,triplet_irreversibility,permutation_entropy,statistical_complexity,hurst_pc1,time_asymmetry_tau1,time_asymmetry_tau5,speed_mean,speed_cv,acceleration_mean,turn_angle_mean,tortuosity,rqa_recurrence_rate,rqa_determinism,rqa_mean_diag,rqa_max_diag,rqa_laminarity,rqa_trapping_time,topo_h1_count,topo_h1_sig_count,topo_h1_total,topo_h1_max,topo_h1_entropy
CLA01,01 0x2A721 Lake Aria,30.0,0.42077091453943377,3.211135754930514,0.7745108695652162,0.25944451626185977,0.02028726708074532,0.7343900623287717,4.36944785230806,0.450054185355645,0.019904573220985867,0.9232667580162839,0.12487008097716126,0.9105225981015181,-0.02129189346230412,-0.06091850118977165,0.7073820471059599,0.5669750521866488,1.0699471045382487,1.6944475731486963,192.88904837160428,0.056424581005586595,0.2376237623762375,2.1176470588235294,3.0,0.2750275027502749,2.183406113537118,39,3,2.6502334475517273,0.32246679067611694,3.279864959996729
CLA02,Intensity Buffer Electronic,30.0,0.5783280484005435,4.970228548924337,0.645075421472936,0.3755315733758318,0.08691215616681441,0.9320106646434213,5.8021183747350085,1.1806530841261236,0.13689533667580953,0.8813609505398543,0.18497638954212473,0.7608404596343458,-0.07520114436372358,-0.07160412902065538,1.19499767920157,0.8320622282927657,1.7951004978712672,1.64686388288271,350.6233097594198,0.15139664804469274,0.3862238622386223,2.3201970443349755,6.0,0.5489954899548994,2.605058365758755,34,0,1.3023204505443573,0.1430257260799408,3.201586785522395
CLA03,05 0x2A725 Moon Cave,30.0,0.4871378508395784,3.8598677121044953,0.6796494837203771,0.32783052843752414,0.030640503224274983,0.7505930523771935,4.923623916786968,0.6028082102368787,0.02721424586145092,0.9046628058517637,0.15630517849148773,0.8587996061902036,0.009617539907846404,-0.06745892734309993,0.7400764869227134,0.6653013295868343,1.1372842824026568,1.7262994893817867,155.25207253504297,0.09000620732464308,0.4172413793103447,2.410358565737052,6.0,0.5631034482758619,2.7445378151260504,36,3,1.8478039354085922,0.1715434491634369,3.2089859406060337
CLA04,02 0x2A722 Rachels Weave,30.0,0.570006982860832,4.856873568662136,0.7901812303241713,0.2493124243897481,0.05127414277205812,0.9146812483272228,5.6801726083752655,0.892271411205152,0.057819268974569384,0.917188583898839,0.13586827812107022,0.8857663099501949,-0.0073713775453962405,0.008274457744672581,0.6565571568920514,0.666533425127915,0.97662668556602,1.6867107680088134,321.64888644870734,0.103227808814401,0.5748647023451592,2.950617283950617,11.0,0.71046301864101,3.2910863509749304,34,1,1.3585234880447388,0.16199779510498047,3.131032898115353
CLA05,Natures Beauty,30.0,0.5032479914306652,4.036184058062668,0.5445923160303496,0.3899307086754099,0.09490115448805066,0.8396309602290388,4.793031922944774,1.1818291927279458,0.09453869216842752,0.9485933938210847,0.09435841656933593,0.9000573287781927,-0.00279841633486717,0.17233365176996754,1.3029453049457924,0.6077866446581874,2.100742941593724,1.8158624952365414,243.64122140732323,0.10248292985723154,0.36765596608116285,2.290566037735849,5.0,0.5009085402786189,2.5446153846153847,39,0,1.6426778584718704,0.13882064819335938,3.2867807918030105
CLA06,Swordfight,30.0,0.46041877585876706,3.5842595280574963,0.622005323868677,0.35782389101732487,0.05723158828748882,0.6029744429861881,4.518158808786137,0.4347817756722455,0.05471193887670696,0.9550435854026128,0.08078145121734695,0.9364907563400293,0.03664532148518598,0.09064798189589014,0.8182270663271672,0.7144868588641601,1.2387218286235333,1.6411160656810069,239.06400158444154,0.06573556797020484,0.25779036827195456,2.2195121951219514,6.0,0.2743153918791311,2.1760299625468167,29,2,1.7436656951904297,0.1749369502067566,3.0645927232050916
CLA07,Warden,30.0,0.8022380633235561,9.24678762036554,0.7296800908301598,0.3208298057638517,0.09316770186335388,0.9362102106778932,5.147494476173197,0.6344353529974881,0.14871436980246863,0.9034401738841057,0.14247858221435766,0.9067552708993475,-0.006732831983287447,-0.1204036448891592,1.1452996957206278,0.880578888905072,1.7673565059276704,1.7128836989641367,105.22185591626464,0.12619490999379268,0.5031972454500737,2.671018276762402,8.0,0.6389572060993604,2.935593220338983,30,0,1.2376047670841217,0.13098478317260742,3.07147552256179
CLA08,Bluebonnet,30.0,0.025801795609690013,1.0741587182471497,0.981351787548294,0.022901507875076735,1.4672079033598755e-05,0.27788464143066705,6.455198562697134,0.28223717380327823,0.0,0.8849724948906124,0.1728184363953018,0.8028933577091246,-0.03456730035906177,0.06719255739917881,0.7876792009877868,0.7113940910359314,1.2097391861940423,1.7434892347003514,271.1653600462661,0.06356300434512725,0.2626953124999999,2.2416666666666667,4.0,0.37597656249999983,2.2514619883040936,43,3,2.13515704870224,0.23181426525115967,3.321802672611904
CLA09,Dance Of The Little Swans You Need Bashers T,30.0,0.36188564662428335,2.7274307874177337,0.6098075300973842,0.3201864410677599,0.02954528026991788,0.34559951910321246,6.006353158959319,0.6175611379128536,0.02838962993039824,0.9086960876827634,0.15417864076920854,0.790811620788846,-0.09358902727508155,0.002468111553019542,1.1119855289212435,0.5249106480669282,1.697758000154929,1.7158707393189883,299.6552505568047,0.05828677839851024,0.13631522896698609,2.064516129032258,3.0,0.1357827476038338,2.1610169491525424,42,0,2.310176730155945,0.14646315574645996,3.4610962184231453
CLA10,Spinning 2 Versions,30.0,0.7535428585804268,8.078970341454427,0.4585921325051752,0.4959872900019955,0.3333333333333328,0.6694788844129816,3.701301973955469,0.73215636294667,0.42822567922235716,0.7779371641923482,0.3092409896208582,0.6014604968724018,0.4786680101261209,0.009486405226611434,1.5761426672868066,0.8213493895784801,2.3645072901152004,1.4500048197093862,796.4035377538008,0.07417752948479206,0.30711297071129695,2.29375,5.0,0.23263598326359824,2.146718146718147,25,0,1.0054085552692413,0.0961495041847229,2.907327550823824
